title,link,exp,company,salary,cities,tags
Senior Python Developer in Virtual Services Team,https://jobs.dou.ua/companies/zone3000/vacancies/271137/,3-5, ZONE3000,,віддалено,"Python,Django,Flask,SQL,API,Docker,AWS,Linux,AI,JS,Microservice,MongoDB,HTML,Kubernetes"
Senior Python Developer in Hosting Services Team,https://jobs.dou.ua/companies/zone3000/vacancies/271084/,3-5, ZONE3000,,віддалено,"Python,Django,Flask,SQL,API,Docker,AWS,Linux,AI,JS,Microservice,MongoDB,HTML,Machine Learning,Kubernetes"
Middle/Senior Python Developer,https://jobs.dou.ua/companies/wizardsdev/vacancies/277366/,3-5, WizardsDev,,віддалено,"Python,SQL,REST,API,Docker,PostgreSQL,AI,Kubernetes"
Full Stack Python/React Developer,https://jobs.dou.ua/companies/uvik-software/vacancies/277416/,3-5, Uvik Software,,"Чернівці, Івано-Франківськ, за кордоном, віддалено","Python,Django,REST,API,AI,JS,React,GraphQL,TypeScript"
Middle Python/Django developer,https://jobs.dou.ua/companies/perfsol/vacancies/269062/,3-5, Perfsol,,"Львів, віддалено","Python,Django,REST,Docker,AI,CI/CD"
Middle Python Developer,https://jobs.dou.ua/companies/comparusua/vacancies/208689/,3-5, COMPARUS UA,,Дніпро,"Python,SQL,REST,API,Docker,PostgreSQL,Kubernetes,Jenkins"
Django Developer,https://jobs.dou.ua/companies/planeks/vacancies/261768/,3-5, PLANEKS,,віддалено,"Python,Django,Flask,SQL,REST,API,PostgreSQL,AI,JS,MongoDB,HTML,CSS,CI/CD"
Python Software Engineer,https://jobs.dou.ua/companies/plink-gg/vacancies/277881/,3-5, PLINK.GG,,Київ,"Python,Django,SQL,REST,API,Docker,Linux,PostgreSQL,AI,JS,React,NoSQL,Networking,MongoDB,DRF,Kubernetes,CI/CD"
Middle Backend Developer (Python),https://jobs.dou.ua/companies/krasty-soft/vacancies/277990/,3-5, Krasty soft,,віддалено,"Python,Django,Flask,SQL,API,Docker,AWS,PostgreSQL,AI,JS,React,Microservice,Vue"
Python Back End Middle Developer,https://jobs.dou.ua/companies/isi-technology/vacancies/278013/,3-5, iSi Technology,$1500–4000,віддалено,"Python,Django,Git,SQL,REST,API,PostgreSQL,AI,JS,DRF,Angular"
Python developer,https://jobs.dou.ua/companies/ua-tech-people/vacancies/278159/,3-5, UA Tech People,,віддалено,"Python,Django,Flask,SQL,REST,API,Docker,PostgreSQL,AI,NoSQL,Fullstack,MongoDB,Machine Learning,Kubernetes"
Full-stack developer,https://jobs.dou.ua/companies/indigo-it/vacancies/278218/,3-5, INDIGO - Tech Recruiters,$2500–3500,,"Python,SQL,API,Docker,AWS,AI,Artificial Intelligence,JavaScript,JS,React,Microservice,MongoDB,Kubernetes,CI/CD,Angular"
Computer Vision Python Engineer,https://jobs.dou.ua/companies/kvitochka-r-and-d/vacancies/278239/,3-5,Квіточка R&D,,,"Python,NumPy"
Middle Software Engineer (Python or TypeScript) with LLM Experience,https://jobs.dou.ua/companies/coxit/vacancies/272318/,3-5, COXIT,$1500–2500,"Львів, віддалено","Python,Git,REST,API,Docker,AWS,Linux,AI,MongoDB,CI/CD,TypeScript"
Python Cloud Engineer,https://jobs.dou.ua/companies/lemberg-solutions/vacancies/274948/,3-5, Lemberg Solutions,,"Львів, Луцьк, Рівне, віддалено","Python,Django,Flask,REST,API,AWS,AI,OOP,GraphQL"
Middle Python Developer,https://jobs.dou.ua/companies/edvantis/vacancies/278319/,3-5, Edvantis,,"Львів, Ряшів (Польща), віддалено","Python,Git,SQL,Docker,AWS,PostgreSQL,AI,Artificial Intelligence,OOP,Machine Learning,Kubernetes,CI/CD,Pandas,Data Science"
Middle Python Developer,https://jobs.dou.ua/companies/anadea/vacancies/278378/,3-5, Anadea,,віддалено,"Python,Django,SQL,API,AWS,PostgreSQL,AI,Pandas,NumPy"
Middle Python/Data Engineer,https://jobs.dou.ua/companies/sombra/vacancies/278585/,3-5, Sombra,,"Київ, Львів, Івано-Франківськ","Python,SQL,API,Docker,AWS,AI,OOP,NoSQL,Microservice,Pandas,ETL"
Machine Learning Engineer (Python),https://jobs.dou.ua/companies/finline-company/vacancies/278611/,3-5, Finline Company,,віддалено,"Python,Git,REST,AI,Machine Learning,CI/CD,Pandas,NumPy,TensorFlow,PyTorch"
